participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
0,,12,81,62,12,1,1,1,1,1,1,1,-1,1,-1,1,-1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,1,-1,1,1,0,1,-1,0,1,1,-1,1,1,1,1,1,1,,1,1,-1,0,1,1,1,1,1,1,1,1,1,-1,1,-1,1,1,1,-1
1,,0,9,9,0,1,1,1,1,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,22,61,45,5,1,0,1,1,1,1,-1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-1,0,,0,0,1,1,1,1,-1,1,0,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,0,1,1,1,1,,0,,,,,,,,,,,,,,,,,,,
3,,3,61,53,7,1,-1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,-1,1,1,1,1,1,1,-1,1,1,,-1,1,0,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,
4,,5,80,49,7,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,,1,0,1,1,0,1,0,1,0,0,1,0,-1,1,1,0,1,-1,1,1,1,1,0,1,1,0,-1,1,1,1,1,1,1,,1,0,1,0,1,1,0,-1,0,0,0,0,-1,-1,1,0,-1,0,1,1
9,,1,80,51,13,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,-1,0,1,1,1,1,1,1,-1,0,,1,1,1,1,0,0,0,1,1,1,0,1,-1,0,1,1,1,1,1,1,1,0,0,1,1,-1,-1,0,1,1,1,1,1,1,0,-1,1,0,-1,1,0,1,1,1,1,-1,-1,-1,-1,-1,-1,0,1,
10,,0,53,45,5,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,,1,1,1,1,1,1,-1,-1,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,1,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,
11,,0,17,10,1,1,1,1,1,0,0,0,1,0,1,1,-1,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0,32,6,1,0,0,0,0,0,1,-1,1,1,,1,,1,0,,0,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,,0,,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0,5,5,0,1,,1,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1,23,20,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,0,23,19,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,0,9,5,0,0,,,,,,,,1,,1,,,,1,,,0,0,1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
