n-votes,n-comments,n-visitors,n-voters,n-commenters
0,0,1,0,0
0,1,1,0,1
1,1,1,1,1
1,2,1,1,2
2,2,1,2,2
2,3,1,2,3
3,3,1,3,3
3,4,1,3,4
4,4,1,4,4
4,5,1,4,5
5,5,1,5,5
5,5,2,5,5
6,5,2,6,5
7,5,2,7,5
8,5,2,8,5
9,5,2,9,5
10,5,2,10,5
11,5,2,11,5
11,5,3,11,5
12,5,3,12,5
13,5,3,13,5
14,5,3,14,5
15,5,3,15,5
16,5,3,16,5
16,5,4,16,5
17,5,4,17,5
18,5,4,18,5
19,5,4,19,5
20,5,4,20,5
21,5,4,21,5
21,6,4,21,6
22,6,4,22,6
23,6,4,23,6
23,7,4,23,7
24,7,4,24,7
24,7,5,24,7
25,7,5,25,7
26,7,5,26,7
27,7,5,27,7
28,7,5,28,7
29,7,5,29,7
30,7,5,30,7
31,7,5,31,7
31,8,5,31,8
32,8,5,32,8
32,9,5,32,9
33,9,5,33,9
33,10,5,33,10
34,10,5,34,10
34,11,5,34,11
35,11,5,35,11
35,12,5,35,12
36,12,5,36,12
37,12,5,37,12
38,12,5,38,12
39,12,5,39,12
40,12,5,40,12
41,12,5,41,12
41,12,6,41,12
42,12,6,42,12
43,12,6,43,12
44,12,6,44,12
45,12,6,45,12
46,12,6,46,12
47,12,6,47,12
48,12,6,48,12
49,12,6,49,12
49,13,6,49,13
50,13,6,50,13
50,13,7,50,13
50,14,7,50,14
51,14,7,51,14
51,14,8,51,14
52,14,8,52,14
53,14,8,53,14
53,14,9,53,14
54,14,9,54,14
54,14,10,54,14
55,14,10,55,14
56,14,10,56,14
57,14,10,57,14
58,14,10,58,14
59,14,10,59,14
60,14,10,60,14
61,14,10,61,14
62,14,10,62,14
63,14,10,63,14
64,14,10,64,14
65,14,10,65,14
66,14,10,66,14
67,14,10,67,14
68,14,10,68,14
69,14,10,69,14
70,14,10,70,14
71,14,10,71,14
71,14,11,71,14
72,14,11,72,14
73,14,11,73,14
74,14,11,74,14
75,14,11,75,14
76,14,11,76,14
77,14,11,77,14
78,14,11,78,14
79,14,11,79,14
80,14,11,80,14
81,14,11,81,14
82,14,11,82,14
82,15,11,82,15
83,15,11,83,15
83,16,11,83,16
84,16,11,84,16
84,17,11,84,17
85,17,11,85,17
86,17,11,86,17
87,17,11,87,17
88,17,11,88,17
89,17,11,89,17
90,17,11,90,17
91,17,11,91,17
92,17,11,92,17
93,17,11,93,17
94,17,11,94,17
95,17,11,95,17
96,17,11,96,17
96,17,12,96,17
97,17,12,97,17
98,17,12,98,17
99,17,12,99,17
100,17,12,100,17
101,17,12,101,17
102,17,12,102,17
103,17,12,103,17
104,17,12,104,17
105,17,12,105,17
106,17,12,106,17
107,17,12,107,17
108,17,12,108,17
109,17,12,109,17
110,17,12,110,17
111,17,12,111,17
112,17,12,112,17
113,17,12,113,17
114,17,12,114,17
115,17,12,115,17
115,17,13,115,17
116,17,13,116,17
117,17,13,117,17
118,17,13,118,17
119,17,13,119,17
120,17,13,120,17
121,17,13,121,17
122,17,13,122,17
123,17,13,123,17
124,17,13,124,17
125,17,13,125,17
125,18,13,125,18
126,18,13,126,18
126,19,13,126,19
127,19,13,127,19
127,20,13,127,20
128,20,13,128,20
128,21,13,128,21
129,21,13,129,21
129,22,13,129,22
130,22,13,130,22
130,22,14,130,22
131,22,14,131,22
132,22,14,132,22
133,22,14,133,22
134,22,14,134,22
135,22,14,135,22
135,22,15,135,22
135,23,15,135,23
136,23,15,136,23
137,23,15,137,23
138,23,15,138,23
139,23,15,139,23
140,23,15,140,23
141,23,15,141,23
142,23,15,142,23
143,23,15,143,23
144,23,15,144,23
145,23,15,145,23
146,23,15,146,23
147,23,15,147,23
148,23,15,148,23
149,23,15,149,23
150,23,15,150,23
151,23,15,151,23
151,23,16,151,23
152,23,16,152,23
153,23,16,153,23
154,23,16,154,23
155,23,16,155,23
156,23,16,156,23
157,23,16,157,23
158,23,16,158,23
159,23,16,159,23
160,23,16,160,23
161,23,16,161,23
162,23,16,162,23
163,23,16,163,23
164,23,16,164,23
165,23,16,165,23
166,23,16,166,23
167,23,16,167,23
168,23,16,168,23
169,23,16,169,23
170,23,16,170,23
171,23,16,171,23
172,23,16,172,23
173,23,16,173,23
174,23,16,174,23
175,23,16,175,23
176,23,16,176,23
177,23,16,177,23
178,23,16,178,23
179,23,16,179,23
180,23,16,180,23
181,23,16,181,23
182,23,16,182,23
183,23,16,183,23
184,23,16,184,23
185,23,16,185,23
186,23,16,186,23
187,23,16,187,23
188,23,16,188,23
189,23,16,189,23
190,23,16,190,23
191,23,16,191,23
192,23,16,192,23
193,23,16,193,23
194,23,16,194,23
195,23,16,195,23
196,23,16,196,23
197,23,16,197,23
198,23,16,198,23
199,23,16,199,23
200,23,16,200,23
201,23,16,201,23
201,24,16,201,24
202,24,16,202,24
202,24,17,202,24
203,24,17,203,24
204,24,17,204,24
205,24,17,205,24
206,24,17,206,24
207,24,17,207,24
208,24,17,208,24
209,24,17,209,24
210,24,17,210,24
211,24,17,211,24
211,24,18,211,24
212,24,18,212,24
212,24,19,212,24
213,24,19,213,24
214,24,19,214,24
215,24,19,215,24
216,24,19,216,24
216,24,20,216,24
217,24,20,217,24
218,24,20,218,24
219,24,20,219,24
219,24,21,219,24
220,24,21,220,24
221,24,21,221,24
222,24,21,222,24
223,24,21,223,24
224,24,21,224,24
225,24,21,225,24
226,24,21,226,24
227,24,21,227,24
228,24,21,228,24
229,24,21,229,24
230,24,21,230,24
231,24,21,231,24
232,24,21,232,24
233,24,21,233,24
234,24,21,234,24
235,24,21,235,24
236,24,21,236,24
237,24,21,237,24
238,24,21,238,24
239,24,21,239,24
240,24,21,240,24
241,24,21,241,24
242,24,21,242,24
243,24,21,243,24
243,24,22,243,24
244,24,22,244,24
244,24,23,244,24
245,24,23,245,24
246,24,23,246,24
247,24,23,247,24
247,24,24,247,24
248,24,24,248,24
248,24,25,248,24
248,25,25,248,25
249,25,25,249,25
250,25,25,250,25
251,25,25,251,25
252,25,25,252,25
253,25,25,253,25
254,25,25,254,25
255,25,25,255,25
256,25,25,256,25
257,25,25,257,25
258,25,25,258,25
259,25,25,259,25
260,25,25,260,25
261,25,25,261,25
262,25,25,262,25
263,25,25,263,25
264,25,25,264,25
265,25,25,265,25
266,25,25,266,25
267,25,25,267,25
268,25,25,268,25
269,25,25,269,25
270,25,25,270,25
271,25,25,271,25
272,25,25,272,25
273,25,25,273,25
273,26,25,273,26
274,26,25,274,26
274,26,26,274,26
275,26,26,275,26
276,26,26,276,26
277,26,26,277,26
277,26,27,277,26
278,26,27,278,26
279,26,27,279,26
280,26,27,280,26
281,26,27,281,26
282,26,27,282,26
283,26,27,283,26
284,26,27,284,26
285,26,27,285,26
286,26,27,286,26
287,26,27,287,26
288,26,27,288,26
289,26,27,289,26
290,26,27,290,26
291,26,27,291,26
292,26,27,292,26
293,26,27,293,26
294,26,27,294,26
295,26,27,295,26
296,26,27,296,26
297,26,27,297,26
298,26,27,298,26
299,26,27,299,26
300,26,27,300,26
301,26,27,301,26
302,26,27,302,26
303,26,27,303,26
304,26,27,304,26
305,26,27,305,26
306,26,27,306,26
307,26,27,307,26
308,26,27,308,26
309,26,27,309,26
310,26,27,310,26
311,26,27,311,26
311,26,28,311,26
312,26,28,312,26
312,26,29,312,26
313,26,29,313,26
314,26,29,314,26
315,26,29,315,26
316,26,29,316,26
317,26,29,317,26
318,26,29,318,26
319,26,29,319,26
320,26,29,320,26
321,26,29,321,26
322,26,29,322,26
323,26,29,323,26
324,26,29,324,26
325,26,29,325,26
326,26,29,326,26
327,26,29,327,26
328,26,29,328,26
328,26,30,328,26
329,26,30,329,26
330,26,30,330,26
330,26,31,330,26
331,26,31,331,26
332,26,31,332,26
333,26,31,333,26
334,26,31,334,26
335,26,31,335,26
336,26,31,336,26
337,26,31,337,26
338,26,31,338,26
339,26,31,339,26
340,26,31,340,26
341,26,31,341,26
342,26,31,342,26
343,26,31,343,26
344,26,31,344,26
345,26,31,345,26
346,26,31,346,26
347,26,31,347,26
348,26,31,348,26
349,26,31,349,26
350,26,31,350,26
350,26,32,350,26
351,26,32,351,26
351,26,33,351,26
352,26,33,352,26
353,26,33,353,26
354,26,33,354,26
355,26,33,355,26
356,26,33,356,26
357,26,33,357,26
358,26,33,358,26
359,26,33,359,26
360,26,33,360,26
361,26,33,361,26
362,26,33,362,26
363,26,33,363,26
364,26,33,364,26
365,26,33,365,26
